N,Unseen,Samples,Method,RMSE,MAE,P95,P99,Linf
32,False,1011,Parent FD,3.904037905975e-01,1.236995818814e-01,6.405687332153e-01,2.015232856274e+00,6.242927074432e+00
32,False,1011,NN-FD,1.012165073797e-01,3.398262151277e-02,1.574023749679e-01,3.418014383316e-01,2.897427797318e+00
32,False,1011,NN-FF-FD-RA,1.778283432969e-01,4.504046130594e-02,1.900548093021e-01,5.772315198928e-01,4.539999485016e+00
64,False,1898,Parent FD,1.089482454491e-01,3.648116888943e-02,1.934872120619e-01,5.189576506615e-01,1.509052515030e+00
64,False,1898,NN-FD,4.671560804635e-02,1.537570998087e-02,6.940963724628e-02,1.974905615672e-01,9.933110475540e-01
64,False,1898,NN-FF-FD-RA,1.695081533139e-02,6.488387661470e-03,2.984946966171e-02,7.243344374001e-02,2.994215521030e-01
128,False,3839,Parent FD,3.170926778010e-02,1.066690997192e-02,5.394754502922e-02,1.588827653229e-01,4.015808999538e-01
128,False,3839,NN-FD,1.594156553287e-02,5.668045008057e-03,2.812897730619e-02,7.296222988516e-02,2.507238686085e-01
128,False,3839,NN-FF-FD-RA,3.343819352971e-03,1.386339018048e-03,6.262990320101e-03,1.466225482523e-02,5.922815203667e-02
256,False,7652,Parent FD,6.389384033238e-03,2.028049844488e-03,1.088191373274e-02,2.818087404594e-02,1.226236447692e-01
256,False,7652,NN-FD,4.692304586718e-03,1.930438007145e-03,8.643301372649e-03,1.895270407433e-02,9.221703745425e-02
256,False,7652,NN-FF-FD-RA,1.380523146407e-03,5.796058276497e-04,2.488684207492e-03,6.133622480556e-03,2.047431468964e-02
512,True,102400,Parent FD,1.743577145072e-03,6.022934941821e-04,3.306352987420e-03,8.406788762659e-03,3.075831010938e-02
512,True,102400,NN-FD,2.858307254913e-03,1.390857117021e-03,6.166317942552e-03,1.131546450779e-02,4.603078836226e-02
512,True,102400,NN-FF-FD-RA,1.796515406115e-03,7.648223809753e-04,3.459401482542e-03,8.550444240973e-03,3.090685984353e-02
